participantNo,task,condition,forCond,mode,block,trialNo,missCount,dockingTime,wrongModeCount,posMissCount,prevMode
10,baseline,"touch,touch","mouse,touch",touch,1,6,0,841,0,0,touch
10,baseline,"touch,touch","mouse,touch",touch,1,7,0,551,0,1,touch
10,baseline,"touch,touch","mouse,touch",touch,2,1,0,696,0,0,touch
10,baseline,"touch,touch","mouse,touch",touch,2,2,0,583,0,0,touch
10,baseline,"touch,touch","mouse,touch",touch,2,3,0,353,0,0,touch
10,baseline,"touch,touch","mouse,touch",touch,2,4,0,909,0,0,touch
10,baseline,"touch,touch","mouse,touch",touch,2,5,1,996,0,1,touch
10,baseline,"touch,touch","mouse,touch",touch,2,6,0,921,0,0,touch
10,baseline,"touch,touch","mouse,touch",touch,2,7,0,876,0,0,touch
10,baseline,"touch,touch","trackpad,touch",touch,1,1,1,409,0,1,touch
10,baseline,"touch,touch","trackpad,touch",touch,1,2,0,1013,0,0,touch
10,baseline,"touch,touch","trackpad,touch",touch,1,3,0,954,0,0,touch
10,baseline,"touch,touch","trackpad,touch",touch,1,4,0,998,0,0,touch
10,baseline,"touch,touch","trackpad,touch",touch,1,5,0,973,0,0,touch
10,baseline,"touch,touch","trackpad,touch",touch,1,6,0,1011,0,0,touch
10,baseline,"touch,touch","trackpad,touch",touch,1,7,0,866,0,0,touch
10,baseline,"touch,touch","trackpad,touch",touch,2,1,0,800,0,0,touch
10,baseline,"touch,touch","trackpad,touch",touch,2,2,0,767,0,0,touch
10,baseline,"touch,touch","trackpad,touch",touch,2,3,0,892,0,0,touch
10,baseline,"touch,touch","trackpad,touch",touch,2,4,0,910,0,0,touch
10,baseline,"touch,touch","trackpad,touch",touch,2,5,0,975,0,0,touch
10,baseline,"touch,touch","trackpad,touch",touch,2,6,0,877,0,0,touch
10,baseline,"touch,touch","trackpad,touch",touch,2,7,0,981,0,0,touch
10,baseline,"trackpad,trackpad","mouse,trackpad",trackpad,1,1,0,2408,0,0,trackpad
10,baseline,"trackpad,trackpad","mouse,trackpad",trackpad,1,2,0,2295,0,0,trackpad
10,baseline,"trackpad,trackpad","mouse,trackpad",trackpad,1,3,0,1901,0,0,trackpad
10,baseline,"trackpad,trackpad","mouse,trackpad",trackpad,1,4,1,1542,0,1,trackpad
10,baseline,"trackpad,trackpad","mouse,trackpad",trackpad,1,5,0,2199,0,0,trackpad
10,baseline,"trackpad,trackpad","mouse,trackpad",trackpad,1,6,0,2056,0,0,trackpad
